sf,lf_1,source_1,cui_1,semtypes_1,semgroups_1,lf_2,source_2,cui_2,semtypes_2,semgroups_2,is_train
VERP,ventricle effective refractory period|ventricular effective refractory periods|ventricular effective refractory period,pubmed,C0428940,Finding,Disorders,ventricular arrhythmogenecity and effective refractory periods,pubmed,C0018827|C0428937|C1522565,"Body Part, Organ, or Organ Component|Laboratory or Test Result|Spatial Concept",Anatomy|Concepts & Ideas|Phenomena,1
AVERP,atrioventricular node effective refractory period,pubmed,C0428939,Laboratory or Test Result,Phenomena,av nodal effective refractory period,pubmed,C0428937|C0443268|C1417752|C4554545,Finding|Gene or Genome|Laboratory or Test Result|Spatial Concept,Concepts & Ideas|Disorders|Genes & Molecular Sequences|Phenomena,1
FLANK,flank spay and earpunch|flank|flank surface region,"umls,pubmed",C0230171,Body Location or Region,Anatomy,flank incision eartagging and earmarking,pubmed,C0198492|C0680800,Governmental or Regulatory Activity|Therapeutic or Preventive Procedure,Activities & Behaviors|Procedures,1
FMM,fourier matching method,pubmed,C0025663|C0150103|C0449851|C0871511|C1708943,Functional Concept|Intellectual Product|Laboratory Procedure|Qualitative Concept|Research Activity,Concepts & Ideas|Procedures,frequency of multiple mating,pubmed,C0026767|C0376249|C0439603|C0871396|C1561548|C1705502|C3898838|C4321352,Intellectual Product|Population Group|Quantitative Concept|Temporal Concept,Concepts & Ideas|Living Beings,1
IPS,ibuprofen pellets,pubmed,C0020740|C0993610,Biomedical or Dental Material|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,informal providers,pubmed,C1138603,Functional Concept,Concepts & Ideas,1
CRE,computer analyses of dna binding,pubmed,C1148673|C1516770,Genetic Function|Machine Activity,Activities & Behaviors|Physiology,carbapenemresistant enteric bacteria,pubmed,C0014346|C4316902,Bacterium,Living Beings,1
CFH,complement factor h protein fhsup151820sup using the unique factor hdeficient,pubmed,C0033684|C0056207|C0122577|C1521761|C1524063|C1538440|C1710548|C2827422,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Conceptual Entity|Functional Concept|Gene or Genome|Immunologic Factor|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences,cf obligate heterozygotes,pubmed,C0009738|C0019425|C1413776|C3811819|C4477028,Gene or Genome|Geographic Area|Organism Attribute|Qualitative Concept,Concepts & Ideas|Genes & Molecular Sequences|Geographic Areas|Physiology,1
CHA,compounds transptcl4nh3thiazole 1 transptcl4,pubmed,C0205198|C1706082,Chemical|Qualitative Concept,Chemicals & Drugs|Concepts & Ideas,chicken erythrocyte hemagglutinin,pubmed,C0008051|C0014792|C0018909|C0677521|C1365945,Bird|Cell|Food|Immunologic Factor,Anatomy|Chemicals & Drugs|Living Beings|Objects,1
PATE,pulmonary arterial thromboembolism,pubmed,C0003842|C0024109|C0034052|C0040038|C0221464|C0524702|C2707265|C2709204|C2709248|C3544094|C4522268|C4554659,"Body Part, Organ, or Organ Component|Clinical Attribute|Disease or Syndrome|Finding|Pathologic Function|Qualitative Concept|Spatial Concept",Anatomy|Concepts & Ideas|Disorders|Physiology,population average treatment effects,pubmed,C0032659|C1257890|C1510992|C1518681|C2825518,Finding|Population Group|Quantitative Concept,Concepts & Ideas|Disorders|Living Beings,1
CAM,contralateral axillary metastases,pubmed,C0441988|C0684830,Neoplastic Process|Spatial Concept,Concepts & Ideas|Disorders,crystal healing,umls,C0597815,Therapeutic or Preventive Procedure,Procedures,1
CHPI,chronic hypoxia plus pulmonary inflammation,pubmed,C0003130|C0242184|C1963140|C2074898,Disease or Syndrome|Finding|Pathologic Function,Disorders,countable hypsarrhythmia paroxysms index,pubmed,C0037769|C0205311|C0439157|C0600653|C0684276|C0750480|C0918012|C1552854|C1637833|C1705566|C2986546,Diagnostic Procedure|Disease or Syndrome|Finding|Idea or Concept|Intellectual Product|Quantitative Concept|Temporal Concept,Concepts & Ideas|Disorders|Procedures,1
MTD,maximum safely tolerated dose,pubmed,C0752079|C4684764,Intellectual Product|Quantitative Concept,Concepts & Ideas,mean total cmf dosages,pubmed,C0444504|C0950521|C2347634|C2348143|C2986497,Conceptual Entity|Quantitative Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,1
TAB,type a behavior|type a behaviour,pubmed,C3825566,Idea or Concept,Concepts & Ideas,temporal artery biopsies|temporal artery biopsy,pubmed,C0190482,Diagnostic Procedure,Procedures,1
MPH,morphine hydrochloride,pubmed,C0770901,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,multiport hartmanns procedure,pubmed,C0184661|C2700391|C3274430|C3539779,Functional Concept|Health Care Activity|Intellectual Product|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,1
VQ,ventilatory equivalents,pubmed,C0439185|C4049980,Qualitative Concept|Quantitative Concept,Concepts & Ideas,vulvar pain functional questionnaire,pubmed,C0034394|C0205245|C0406670|C0542341|C2700217,Conceptual Entity|Disease or Syndrome|Functional Concept|Intellectual Product,Concepts & Ideas|Disorders,1
FCR,flexor carpi radialis tendon,pubmed,C0224884,"Body Part, Organ, or Organ Component",Anatomy,field coefficient of resistance,pubmed,C0237834|C0440042|C1514892|C1521738|C1707429|C2346620|C2349184|C3539073|C4281815,"Conceptual Entity|Functional Concept|Indicator, Reagent, or Diagnostic Aid|Mental Process|Physiologic Function|Quantitative Concept|Spatial Concept",Chemicals & Drugs|Concepts & Ideas|Physiology,1
SCFE,super critical fluid extraction,pubmed,C1337587|C1422179|C1451765|C1511545|C3273475|C4284285,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Biomedical or Dental Material|Gene or Genome|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences,supercritical co2 fluid extraction,pubmed,C0949727|C2347816|C4284286,"Element, Ion, or Isotope|Gene or Genome|Laboratory Procedure|Pharmacologic Substance",Chemicals & Drugs|Genes & Molecular Sequences|Procedures,1
TC,tobramycin plus clindamycin,pubmed,C0008947|C0040341|C0332287,Antibiotic|Functional Concept|Organic Chemical,Chemicals & Drugs|Concepts & Ideas,the cbanded morph 8m,pubmed,C0026549|C0332437,Organic Chemical|Pharmacologic Substance|Qualitative Concept,Chemicals & Drugs|Concepts & Ideas,1
BSC,bilayered skin construct,pubmed,C0444099|C1123023|C2827421|C4520765,Body Substance|Body System|Classification,Anatomy|Concepts & Ideas,bacterial stool culture,pubmed,C0015733|C0183622|C0430402|C0430414|C0521009,Body Substance|Laboratory Procedure|Medical Device|Qualitative Concept,Anatomy|Concepts & Ideas|Devices|Procedures,1
DEN,deep endometriotic nodules,pubmed,C0028259|C0228505|C4510788,"Acquired Abnormality|Body Part, Organ, or Organ Component|Disease or Syndrome",Anatomy|Disorders,different stages of nnitrosodiethylamine,pubmed,C0679846,Intellectual Product,Concepts & Ideas,1
NDT,nondesensitising toothpaste,pubmed,C0040462,Biomedical or Dental Material,Chemicals & Drugs,normal distribution transform,pubmed,C0028377|C0332617,Qualitative Concept|Quantitative Concept,Concepts & Ideas,1
SKIN,skin human,umls,C0086418|C0444099|C1123023|C4520765,Body Substance|Body System|Human,Anatomy|Living Beings,survey psoriasis knowledge in canada,pubmed,C0006823|C0033860|C0038951|C0376554|C0883378,Disease or Syndrome|Geographic Area|Intellectual Product|Spatial Concept,Concepts & Ideas|Disorders|Geographic Areas,1
BRAF,braf protooncogene serinethreonine kinase gene,pubmed,C0031727|C0033713|C0812241|C4521566,"Amino Acid, Peptide, or Protein|Enzyme|Gene or Genome|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences,braf protooncogene serinethreonine protein kinase,pubmed,C0031727|C0033713|C1259929|C4521566,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Enzyme|Gene or Genome|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences,1
JPA,joinpoint analysis,pubmed,C0002778|C0936012|C1524024,Functional Concept|Laboratory Procedure|Research Activity,Concepts & Ideas|Procedures,juniperonic acid,pubmed,C1098284,Organic Chemical,Chemicals & Drugs,1
ASLT,adhesion stabilization lag time,pubmed,C0001511|C0040223|C0175633|C1293130|C1416797|C3541383|C4283936,Gene or Genome|Natural Phenomenon or Process|Pathologic Function|Temporal Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Genes & Molecular Sequences|Phenomena|Procedures,accelerated shelflife test,pubmed,C0022885|C0039593|C0392366|C0456984|C0521110|C1515976|C2347097|C3831328|C4318744,Body Location or Region|Classification|Functional Concept|Intellectual Product|Laboratory Procedure|Laboratory or Test Result|Temporal Concept,Anatomy|Concepts & Ideas|Phenomena|Procedures,1
PEF,postexercise mep facilitation,pubmed,C0234112|C1707163|C1979962|C4082175,Diagnostic Procedure|Gene or Genome|Organ or Tissue Function|Temporal Concept,Concepts & Ideas|Genes & Molecular Sequences|Physiology|Procedures,perifornical area,pubmed,C0017446|C0205146,Geographic Area|Spatial Concept,Concepts & Ideas|Geographic Areas,1
USE,urinary sodium excretion,pubmed,C0037473|C0597484|C1320408|C3541959|C3714642,"Biologically Active Substance|Element, Ion, or Isotope|Finding|Pharmacologic Substance",Chemicals & Drugs|Disorders,upper squamous epithelium,pubmed,C0221909|C1282910,Spatial Concept|Tissue,Anatomy|Concepts & Ideas,1
GTS,goretex suspension,pubmed,C0018088|C0038960|C1382107|C1705537,Biomedical or Dental Material|Functional Concept|Organic Chemical|Substance,Chemicals & Drugs|Concepts & Ideas|Objects,ganglia asymmetries in tourettes syndrome,pubmed,C0017067|C0040517|C0332514,"Body Part, Organ, or Organ Component|Disease or Syndrome|Spatial Concept",Anatomy|Concepts & Ideas|Disorders,1
GIP,grazing incidence plate,pubmed,C0005971|C0021149|C0043242|C0220856|C1139930|C3537155,Functional Concept|Injury or Poisoning|Medical Device|Quantitative Concept,Concepts & Ideas|Devices|Disorders,gth induced protein,pubmed,C0033684|C0205263,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Functional Concept",Chemicals & Drugs|Concepts & Ideas,1
VDAVP,argipressin val4,umls,C0003779|C1527128,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",Chemicals & Drugs,valine8darginine vasopressin,pubmed,C0042413|C1098706|C1705480,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Hormone|Pharmacologic Substance",Chemicals & Drugs,1
OPP,osteopathic principles and practice,"umls,pubmed",C0005940|C0029447|C0029450|C0237607|C0419203|C1562236|C3245512,Biomedical Occupation or Discipline|Disease or Syndrome|Intellectual Product|Mental Process|Professional or Occupational Group|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Living Beings|Occupations|Physiology|Procedures,outflowing pulmonary plasma,pubmed,C0024109|C0032105|C1550098|C2707265|C2709248|C4521445|C4522268,"Body Part, Organ, or Organ Component|Body Substance|Clinical Attribute|Finding|Pharmacologic Substance|Qualitative Concept",Anatomy|Chemicals & Drugs|Concepts & Ideas|Disorders|Physiology,1
TRN,transnational research networks,pubmed,C0035168|C0242481|C1882071,Functional Concept|Research Activity,Concepts & Ideas|Procedures,twice daily for 7 consecutive days,pubmed,C0585361|C1707491|C3842672,Finding|Qualitative Concept|Temporal Concept,Concepts & Ideas|Disorders,1
ORTH,orthrus,pubmed,C1493154,Eukaryote,Living Beings,overhead radiant tube heaters,pubmed,C0175730|C0348052|C1547937|C1561954|C1704474|C1704730|C4318415,Intellectual Product|Manufactured Object|Medical Device|Quantitative Concept,Concepts & Ideas|Devices|Objects,1
BUG,bulbourethral glands|bulbourethral gland,pubmed,C0006366,"Body Part, Organ, or Organ Component",Anatomy,british urooncology group,pubmed,C0441833|C0596227|C0687744|C1257890|C1519504|C1705428|C1705429,Conceptual Entity|Functional Concept|Idea or Concept|Population Group,Concepts & Ideas|Living Beings,1
PUE,proliferative uninvolved endometrium,pubmed,C0205429|C0334186,"Body Part, Organ, or Organ Component|Qualitative Concept",Anatomy|Concepts & Ideas,p urinaria extract|p urinaria l extracts,pubmed,C0369773|C2603361|C2828366,"Amino Acid, Peptide, or Protein|Clinical Attribute|Immunologic Factor|Substance",Chemicals & Drugs|Objects|Physiology,1
JHU,johns hopkins university hiv clinic,pubmed,C0002424|C0019682|C0019699|C0041740|C0442592,Health Care Related Organization|Laboratory or Test Result|Manufactured Object|Organization|Virus,Living Beings|Objects|Organizations|Phenomena,johns hopkins university school of medicine,pubmed,C0036378|C0041740,Health Care Related Organization|Manufactured Object|Organization,Objects|Organizations,1
RAPID,rapid sperm movement,pubmed,C0037848|C0456962,Cell Function|Qualitative Concept,Concepts & Ideas|Physiology,routine assessment patient index data|routine assessment of patient index data,pubmed,C0205547|C0600653|C0679830|C0918012|C1261322|C1511726|C1516048|C1552854|C1637833|C2707520|C2986546|C3245479|C3714741,Activity|Diagnostic Procedure|Eukaryote|Health Care Activity|Idea or Concept|Intellectual Product|Medical Device|Qualitative Concept|Quantitative Concept,Activities & Behaviors|Concepts & Ideas|Devices|Living Beings|Procedures,1
TF,tracheal fluid,pubmed,C0005889|C0040578|C0302908|C0444611|C1704353|C2945595,"Body Part, Organ, or Organ Component|Body Substance|Qualitative Concept|Spatial Concept|Substance",Anatomy|Concepts & Ideas|Objects,tailflick latency,pubmed,C0205275,Qualitative Concept,Concepts & Ideas,1
PROBE,prognostic biomarker study,pubmed,C0557651|C1514475|C2603343,Manufactured Object|Qualitative Concept|Research Activity,Concepts & Ideas|Objects|Procedures,prospective randomised openlabel blindedendpoint,pubmed,C0023981|C0034656,Research Activity,Procedures,1
CXE,carbon dioxide expanded ethanol,pubmed,C0001962|C0007012|C0205229,Biologically Active Substance|Inorganic Chemical|Organic Chemical|Pharmacologic Substance|Spatial Concept,Chemicals & Drugs|Concepts & Ideas,c xanthorrhiza extract|c xanthocarpa extract|chuanxiong extract,pubmed,C2828366,Substance,Objects,1
BI,brinkman index,pubmed,C4050079|C4050329,Clinical Attribute|Finding,Disorders|Physiology,bile infusion,pubmed,C0005388|C0574032|C1827465,Body Substance|Functional Concept|Therapeutic or Preventive Procedure,Anatomy|Concepts & Ideas|Procedures,1
RANG,resting angle,pubmed,C0035253|C0205143|C1512899,Cell|Daily or Recreational Activity|Spatial Concept,Activities & Behaviors|Anatomy|Concepts & Ideas,rat ang,pubmed,C0034693|C0034721,Mammal,Living Beings,1
FEW,functional evaluation in a wheelchair,pubmed,C0043143|C0205245|C0278372|C0542341|C2700217|C4321408|C4542608,Conceptual Entity|Diagnostic Procedure|Finding|Functional Concept|Health Care Activity|Medical Device,Concepts & Ideas|Devices|Disorders|Procedures,functioning everyday with a wheelchair,pubmed,C0043143|C0205245|C0332173|C0542341|C4321408|C4552744,Daily or Recreational Activity|Finding|Functional Concept|Medical Device|Temporal Concept,Activities & Behaviors|Concepts & Ideas|Devices|Disorders,1
TROUT,trout dietary,umls,C0012155|C0041200|C0459211|C2699635|C4521838,Fish|Food|Functional Concept,Concepts & Ideas|Living Beings|Objects,trout substance,umls,C4521838,Food,Objects,1
AGA,appropriate gestational age,pubmed,C0017504|C1148461|C1548787|C2825545,Clinical Attribute|Health Care Activity|Organism Attribute|Qualitative Concept,Concepts & Ideas|Physiology|Procedures,agnor area,pubmed,C0017446|C0205146,Geographic Area|Spatial Concept,Concepts & Ideas|Geographic Areas,1
MTAB,mix alkyltrimethyl ammonium bromide,pubmed,C0051710|C0205430|C1421951|C1720722|C4553942,Functional Concept|Gene or Genome|Inorganic Chemical|Pharmacologic Substance|Qualitative Concept,Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences,myristyltrimethylammonium bromide,pubmed,C0006222,Inorganic Chemical,Chemicals & Drugs,1
FOU,research and development,umls,C0035170,Research Activity,Procedures,fourierrandomized noise,pubmed,C0028263,Phenomenon or Process,Phenomena,1
RICCI,radiologist lenarduzzi a urologist cacchi and a pathologist,pubmed,C0260194|C0260314|C0334866|C1549438,Intellectual Product|Professional or Occupational Group,Concepts & Ideas|Living Beings,erinaceidae,umls,C0018866,Mammal,Living Beings,1
LCE,l capillipes hemsl extract,pubmed,C0439394|C1706495|C2828366|C3642217,Intellectual Product|Quantitative Concept|Substance,Concepts & Ideas|Objects,longest common extension,pubmed,C0205214|C0231448|C1522138|C1522425|C1880641|C3245511,Conceptual Entity|Functional Concept|Intellectual Product|Qualitative Concept|Quantitative Concept,Concepts & Ideas,1
VGPR,very good pr,pubmed,C0279759|C0279766|C1418864|C3538934|C3538935|C3641222|C3889640|C4048189|C4082178|C4082184|C4085573|C4552913|C4552914,"Amino Acid, Peptide, or Protein|Cell Component|Functional Concept|Gene or Genome|Intellectual Product|Laboratory Procedure|Laboratory or Test Result|Qualitative Concept|Receptor",Anatomy|Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences|Phenomena|Procedures,very good partial response|very good partial remissions|very good partial responses|very good partial remission,"umls,pubmed",C4053871,Finding,Disorders,1
WE,wine,pubmed,C0043188,Food,Objects,weight estimation,pubmed,C0005910|C0043100|C0680844|C0681916|C0750572|C1305866|C1705104,Health Care Activity|Mental Process|Organism Attribute|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Physiology|Procedures,1
BUS,bmode grayscale ultrasonography,pubmed,C0041618|C0175676|C2827990,Diagnostic Procedure|Intellectual Product,Concepts & Ideas|Procedures,b ultrasound|b ultrasonography,pubmed,C0412516,Diagnostic Procedure,Procedures,1
SDP,serodiscordant partnership,pubmed,C1711206,Organization,Organizations,steepest descent path,pubmed,C0205386|C0680043|C0919386|C1705483,Family Group|Intellectual Product|Laboratory Procedure|Qualitative Concept,Concepts & Ideas|Living Beings|Procedures,1
ODD,organic delusional disorder,pubmed,C0029225,Mental or Behavioral Dysfunction,Disorders,optimal dynamic discrimination,pubmed,C0012632|C0729333|C2698651|C2987623,Functional Concept|Mental Process|Qualitative Concept|Social Behavior,Activities & Behaviors|Concepts & Ideas|Physiology,1
HBC,heparinmodified bacterial cellulose|hydroxypropylmethylcellulosemodified bacterial cellulose,pubmed,C0007648|C0521009,Biologically Active Substance|Organic Chemical|Qualitative Concept,Chemicals & Drugs|Concepts & Ideas,high blood cholesterol,pubmed,C3842522,Finding,Disorders,1
DYS,dysthymia,pubmed,C0013415,Mental or Behavioral Dysfunction,Disorders,dysplastic keratotic epithelium,pubmed,C0014609|C0334044|C0439705,Functional Concept|Pathologic Function|Tissue,Anatomy|Concepts & Ideas|Disorders,1
SEPE,selective plasma exchange,pubmed,C0032113|C0032134|C0036576|C1707391,Activity|Genetic Function|Therapeutic or Preventive Procedure,Activities & Behaviors|Physiology|Procedures,severe earlyonset preeclampsia,pubmed,C0341950|C0866323|C1833334,Disease or Syndrome|Finding|Pathologic Function,Disorders,1
SSEO,systemoriented ecotoxicological research,pubmed,C0035168|C0178621|C0242481,Biomedical Occupation or Discipline|Research Activity,Occupations|Procedures,semen essential oil,pubmed,C0028910|C0036563|C0036614|C2756969|C4521697,Body Substance|Organic Chemical|Plant,Anatomy|Chemicals & Drugs|Living Beings,1
VGKC,voltagegated k channel,pubmed,C0814023,"Amino Acid, Peptide, or Protein|Biologically Active Substance",Chemicals & Drugs,voltagegated kv1 potassium channel complex,pubmed,C1167246,Cell Component,Anatomy,1
ACET,ac electrothermal flow,pubmed,C0001246|C0003354|C0806140|C1412573|C2000891|C3539770,"Amino Acid, Peptide, or Protein|Element, Ion, or Isotope|Enzyme|Gene or Genome|Geographic Area|Natural Phenomenon or Process",Chemicals & Drugs|Genes & Molecular Sequences|Geographic Areas|Phenomena,acetabular cartilage t1total the ratio t1,pubmed,C0000962|C0007301|C0456603|C1413227|C1547037|C3714864|C3812692|C4554137,"Body Part, Organ, or Organ Component|Fungus|Gene or Genome|Intellectual Product|Quantitative Concept|Tissue",Anatomy|Concepts & Ideas|Genes & Molecular Sequences|Living Beings,1
LNR,lymphocytes to neutrophil granulocytes,pubmed,C0024264|C1268006|C4018897,Body Substance|Cell,Anatomy,laryngeal nerve injury,pubmed,C3179093,Injury or Poisoning,Disorders,1
BEARD,bignathic encircling and retaining device,pubmed,C0183009|C0205113,Manufactured Object|Spatial Concept,Concepts & Ideas|Objects,neurasthenia,umls,C0027804,Mental or Behavioral Dysfunction,Disorders,1
UO,uranium oxide,pubmed,C0077852,"Element, Ion, or Isotope|Indicator, Reagent, or Diagnostic Aid",Chemicals & Drugs,uranium monoxide,pubmed,C0041928,"Element, Ion, or Isotope",Chemicals & Drugs,1
PITA,pitavastatin,pubmed,C1101838,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,pneumococcal iron abc transporter,pubmed,C0038410|C0242738|C0302583|C0305065|C0376520|C1166521|C3714701,"Amino Acid, Peptide, or Protein|Bacterium|Biologically Active Substance|Element, Ion, or Isotope|Immunologic Factor|Inorganic Chemical|Pharmacologic Substance",Chemicals & Drugs|Living Beings,1
DMC,division of medical communications,pubmed,C0009452|C0152060|C0199168|C0205476|C1293097|C2919030|C2919031,Activity|Functional Concept|Health Care Activity|Organization|Social Behavior|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Organizations|Procedures,dentine matrix component,pubmed,C0449432|C0490693|C1705248,Conceptual Entity|Manufactured Object|Medical Device,Concepts & Ideas|Devices|Objects,1
SV,sway velocity,pubmed,C0439830|C1547053,Quantitative Concept,Concepts & Ideas,sapovirus|sapoviruses,pubmed,C0949921,Virus,Living Beings,1
LONE,living alone,pubmed,C0205171|C0439044|C0595998|C0679994|C4520849|C4551704,Conceptual Entity|Finding|Group Attribute|Quantitative Concept,Concepts & Ideas|Disorders,lines of nonextension,pubmed,C0205132,Spatial Concept,Concepts & Ideas,1
AUR,acetate utilization rate,pubmed,C0871208|C1521828|C1750471,Activity|Molecular Function|Quantitative Concept,Activities & Behaviors|Concepts & Ideas|Physiology,acid unhydrolyzable residue,pubmed,C0001128|C0202406|C1709915|C1882936,Chemical|Conceptual Entity|Finding|Laboratory Procedure,Chemicals & Drugs|Concepts & Ideas|Disorders|Procedures,1
RWMA,regional wall motion akinesia,pubmed,C0085623|C0205147|C0205276|C1947913|C1980023,Clinical Attribute|Disease or Syndrome|Spatial Concept,Concepts & Ideas|Disorders|Physiology,rest wall motion abnormalities,pubmed,C0000768|C0000769|C0035253|C1622890|C1980023,Clinical Attribute|Congenital Abnormality|Daily or Recreational Activity|Functional Concept|Molecular Function,Activities & Behaviors|Concepts & Ideas|Disorders|Physiology,1
PTCI,posttraumatic cognitions,pubmed,C0009240,Mental Process,Physiology,post traumatic cognitions inventory,pubmed,C0009240|C0021941|C0031213|C0332663|C0687676|C1704687|C3469826,Diagnostic Procedure|Functional Concept|Gene or Genome|Manufactured Object|Mental Process|Temporal Concept,Concepts & Ideas|Genes & Molecular Sequences|Objects|Physiology|Procedures,1
COVER,coupled vectors resolution,pubmed,C0086022|C0442335|C1514893|C1706463|C1948027|C2699488,"Conceptual Entity|Functional Concept|Nucleic Acid, Nucleoside, or Nucleotide|Pathologic Function|Quantitative Concept|Spatial Concept",Chemicals & Drugs|Concepts & Ideas|Disorders,cover and shannon diversity,pubmed,C0180153|C1880371|C1999244|C3888055,Functional Concept|Manufactured Object|Qualitative Concept,Concepts & Ideas|Objects,1
VPV,vep combination,umls,C0148304,Therapeutic or Preventive Procedure,Procedures,visually perceived vertical,pubmed,C0030971|C0205128|C0234621,Functional Concept|Mental Process|Spatial Concept,Concepts & Ideas|Physiology,1
UIBC,unsaturated iron bearing capacity,pubmed,C0302583|C0376520|C0522535|C1166521|C1516240|C1704689|C3714701,"Biologically Active Substance|Element, Ion, or Isotope|Inorganic Chemical|Medical Device|Pharmacologic Substance|Qualitative Concept|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas|Devices,unbound iron binding capacity,pubmed,C0369540,Laboratory or Test Result,Phenomena,1
NMIBC,nonmuscle invasive bladder transitional cell carcinoma,pubmed,C1334281,Neoplastic Process,Disorders,nonmuscleinvasive bc,pubmed,C0006041|C2984916,Geographic Area|Quantitative Concept,Concepts & Ideas|Geographic Areas,1
PSV,ptv of the seminal vesicles,pubmed,C0036628|C0454199|C3714919,"Body Part, Organ, or Organ Component|Cell Component|Quantitative Concept",Anatomy|Concepts & Ideas,polysaccharide vaccine,pubmed,C3273243,Immunologic Factor|Pharmacologic Substance,Chemicals & Drugs,1
INDEX,icd9cm codes 1 year before and after the aed exposure,pubmed,C0009219|C0274281|C0332157|C0439234|C0439508|C0805701|C0887457|C0919279|C1137112|C2827734|C2981698|C3816745|C3889831|C4280965,Classification|Finding|Injury or Poisoning|Intellectual Product|Occupational Activity|Organic Chemical|Pharmacologic Substance|Qualitative Concept|Quantitative Concept|Temporal Concept,Activities & Behaviors|Chemicals & Drugs|Concepts & Ideas|Disorders,index patients experiencing a copdrelated hospitalization or ed visit,pubmed,C0019993|C0030705|C0237607|C0545082|C0596545|C0600653|C0918012|C1512346|C1552854|C1637833|C2826704|C2986546|C3538926,Behavior|Diagnostic Procedure|Health Care Activity|Idea or Concept|Intellectual Product|Mental Process|Patient or Disabled Group|Quantitative Concept,Activities & Behaviors|Concepts & Ideas|Living Beings|Physiology|Procedures,1
SAVER,surgical anterior ventricular endocardial restoration,pubmed,C0205094|C0225882|C0449982|C0543467|C0587668,"Body Part, Organ, or Organ Component|Health Care Activity|Intellectual Product|Spatial Concept|Therapeutic or Preventive Procedure",Anatomy|Concepts & Ideas|Procedures,surgical anterior ventricular restoration,pubmed,C0018827|C0205094|C0449982|C0543467|C0587668|C1522565,"Body Part, Organ, or Organ Component|Health Care Activity|Intellectual Product|Spatial Concept|Therapeutic or Preventive Procedure",Anatomy|Concepts & Ideas|Procedures,1
CHINA,collected from different natural habitats in maluan bay,pubmed,C0205296|C0234880|C0871648|C1516695|C1516698|C1705242|C3203003,Functional Concept|Geographic Area|Idea or Concept|Individual Behavior|Qualitative Concept|Spatial Concept,Activities & Behaviors|Concepts & Ideas|Geographic Areas,conducted within tiaoxi watershed,pubmed,C0004927,Behavior,Activities & Behaviors,1
BPDO,bilepancreatic duct obstruction,pubmed,C0028778|C0687028|C1550227|C1705650|C1882136,"Body Part, Organ, or Organ Component|Finding|Manufactured Object|Pathologic Function",Anatomy|Disorders|Objects,based pillaredlayeredtype framework system mnii2,pubmed,C0449913|C1527178|C1553451|C1705938|C3888058|C4318427,Functional Concept|Idea or Concept|Manufactured Object|Quantitative Concept,Concepts & Ideas|Objects,1
NEG,normal exercise group,pubmed,C0205307|C0231683|C0439166|C1276393|C2347086|C4553972,Finding|Intellectual Product|Qualitative Concept|Quantitative Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Procedures,negative patients,pubmed,C0030705|C0205160|C1513916|C2825415|C2825491|C3853545,Conceptual Entity|Finding|Patient or Disabled Group|Qualitative Concept,Concepts & Ideas|Disorders|Living Beings,1
HMW,high molecular weight fraction,pubmed,C1264633|C1554103|C1979900,Intellectual Product|Qualitative Concept|Quantitative Concept,Concepts & Ideas,hmwad to tad,pubmed,C0280090|C4082312,Clinical Attribute|Therapeutic or Preventive Procedure,Physiology|Procedures,1
MHG,mean hearing gain,pubmed,C0018767|C0444504|C1455844|C1517378|C2347634|C2348143,Finding|Physiologic Function|Quantitative Concept,Concepts & Ideas|Disorders|Physiology,min 6mwd and handgrip strength,pubmed,C0237897|C0702093|C0808080|C1293900|C1524029|C1705922|C3813700,Diagnostic Procedure|Idea or Concept|Neoplastic Process|Quantitative Concept|Temporal Concept,Concepts & Ideas|Disorders|Procedures,1
FREN,frenolicin,pubmed,C1258278,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,fuzzy rules emulated network,pubmed,C0150775|C0522637|C0541974|C0805874|C0870077|C1446409|C1513822|C1705739|C1882071,Finding|Functional Concept|Idea or Concept|Intellectual Product|Manufactured Object|Population Group|Professional or Occupational Group,Concepts & Ideas|Disorders|Living Beings|Objects,1
